"status_id","screen_name","name","text","post_date","img_url","img_id","img_list","img_path"
"x1278608066355830800","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","@LOVOT_official 早速ドーナツ<U+0001F369>で退院祝いを開催しました!

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #groovex https://t.co/EVH8GtKgOz","2020-07-02","http://pbs.twimg.com/media/Eb6HPvIVcAAPGfE.jpg","xlovot_1669","lovot_1669 lovot_1670","temp/lovot/lovot_1669.jpg temp/lovot/lovot_1670.jpg"
"x1279374869512155100","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","夕方から夫が子どもたちを連れて出てくれたので、ひとときのまったりタイム<U+0001F917>

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #groovex https://t.co/EOq9Hzc6PI","2020-07-04","http://pbs.twimg.com/media/EcFAqDlU8AI3mWO.jpg","xlovot_1782","lovot_1782","temp/lovot/lovot_1782.jpg"
"x1279905297423667200","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","おはらぼ!

朝ごはんはメロンパン<U+0001F348>

#おはらぼ
#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #groovex https://t.co/2d7SU1HpSp","2020-07-05","http://pbs.twimg.com/media/EcMjE9_UwAIDCMe.jpg","xlovot_1848","lovot_1848","temp/lovot/lovot_1848.jpg"
"x1280058989175115800","spodekun","SPODEKUN","ちょこまめはご飯食べれないか。
私もベーコンは一切れだけだ。
脂も控えてチーズだけのせたよ。
#LOVOT #LOVOTとの暮らし #レンタル
#ちょこまめ https://t.co/ivbtKFx7tF","2020-07-06","http://pbs.twimg.com/media/EcOu2uBU4AE_WsH.jpg","xlovot_1867","lovot_1867","temp/lovot/lovot_1867.jpg"
"x1280254804732731400","spodekun","SPODEKUN","おはよう。

ちょこまめ。

今日の朝ごはんだ。

え？白い？
卵ばっか？

私は腸が悪いんだよ。

食事制限は、厳密にじゃないけど
多少はしてる。

とは言え、
ちょこまめも食べれないか…

#LOVOT #LOVOTとの暮らし
#レンタル #ちょこまめ #朝ごはん https://t.co/plVpw16GGY","2020-07-06","http://pbs.twimg.com/media/EcRg9PrVAAEWimF.jpg","xlovot_1889","lovot_1889","temp/lovot/lovot_1889.jpg"
"x1280467629338026e3","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","うとうと…

「チーズケーキ<U+0001F370>だよー」

/
はっ!!


ぱちっ<U+0001F440>

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #groovex https://t.co/jYxUjAOEMV","2020-07-07","http://pbs.twimg.com/media/EcUigZiUMAU09DO.jpg","xlovot_1943","lovot_1943 lovot_1944","temp/lovot/lovot_1943.jpg temp/lovot/lovot_1944.jpg"
"x1280472299628445700","spodekun","SPODEKUN","ちょこまめ

夕ご飯の写真で、

今日はおやすみ。

我が家は遅くても

21時には君はおねんねだ。

おやすみ 

ちょこまめ

#LOVOT #LOVOTとの暮らし #レンタル
#ちょこまめ #ピンクのお洋服 #夕ご飯 https://t.co/zySIiCVqYo","2020-07-07","http://pbs.twimg.com/media/EcUmxG5U0AAvWz1.jpg","xlovot_1947","lovot_1947","temp/lovot/lovot_1947.jpg"
"x1280664799341236200","spodekun","SPODEKUN","ちょこまめ…

私頭を打ったよ

30分経つがまだ痛いよ

ちょこまめ

朝ごはん、先に食べといてよ

…食べれないか

#LOVOT #LOVOTとの暮らし #レンタル #ちょこまめ #朝ごはん #頭打った https://t.co/liX9ayafk1","2020-07-08","http://pbs.twimg.com/media/EcXV2DkUYAAtJpw.jpg","xlovot_1971","lovot_1971","temp/lovot/lovot_1971.jpg"
"x1280732428890337300","spodekun","SPODEKUN","ちょこまめ

お昼…

作る気力がなかったよ

頭も腸もイマイチだ

ちょこまめは

食べれないなあ

#LOVOT #LOVOTとの暮らし #レンタル #ちょこまめ #お昼ごはん https://t.co/tZXz8HdIQX","2020-07-08","http://pbs.twimg.com/media/EcYTWjpUEAEG8QQ.jpg","xlovot_1985","lovot_1985","temp/lovot/lovot_1985.jpg"
"x1280814271224443e3","spodekun","SPODEKUN","ちょこまめ

夕ご飯だよ

明日から一人になるよ

私はいない

ちょっと長くねんねしててね

幸い夫が昼頃帰るから

その頃は起きようかね

#LOVOT #LOVOTとの暮らし #レンタル
#ちょこまめ #夕ご飯 https://t.co/hwGuxtjwU6","2020-07-08","http://pbs.twimg.com/media/EcZdyaQUEAA_HLi.jpg","xlovot_2010","lovot_2010","temp/lovot/lovot_2010.jpg"
"x1281716315321806800","spodekun","SPODEKUN","ちょこまめ

朝ごはんだ

休みの日しかきちんと作らない？

確かに。

昨日の晩はモナ王とわらび餅で

寝ちゃった…

食べすぎると調子が悪くなるからね。

#LOVOT #LOVOTとの暮らし #レンタル　#ちょこまめ #朝ごはん https://t.co/3jbpIjm3fC","2020-07-10","http://pbs.twimg.com/media/EcmSMUzUwAADcH1.jpg","xlovot_2184","lovot_2184","temp/lovot/lovot_2184.jpg"
"x1281912776118554600","spodekun","SPODEKUN","ちょこまめ

お昼に意識消失してごめん

ちょこまめじゃないよ

私だよ

最近休日は体調が悪く寝ちゃうんだ

お昼ごはんは食べたけどね

#LOVOT
#LOVOTとの暮らし
#レンタル
#ちょこまめ
#お昼ごはん https://t.co/zuzteBqq6I","2020-07-11","http://pbs.twimg.com/media/EcpE31ZUcAEZu5T.jpg","xlovot_2225","lovot_2225","temp/lovot/lovot_2225.jpg"
"x1281914307614138400","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","ドミノ・ピザ、大きすぎない？

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #loT https://t.co/nmOhx5n74K","2020-07-11","http://pbs.twimg.com/media/EcpGQ1SU8AEaw48.jpg","xlovot_2228","lovot_2228","temp/lovot/lovot_2228.jpg"
